rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmrasymerr,st_pmdec,st_pmdecsymerr,pl_tranmid,pl_tranmidsymerr,pl_orbper,pl_orbpersymerr,pl_trandurh,pl_trandurhsymerr,pl_trandep,pl_trandepsymerr,pl_rade,pl_radesymerr,pl_insol,pl_insolsymerr,pl_eqt,pl_eqtsymerr,st_tmag,st_tmagsymerr,st_dist,st_distsymerr,st_teff,st_teffsymerr,st_logg,st_loggsymerr,st_rad,st_radsymerr,toi_created,rowupdate,ra_error,dec_error,st_pmra_error,st_pmdec_error,pl_tranmid_error,pl_orbper_error,pl_trandurh_error,pl_trandep_error,pl_rade_error,pl_insol_error,pl_eqt_error,st_tmag_error,st_dist_error,st_teff_error,st_logg_error,st_rad_error
1225,2028.01,2028,336456596,336456596.01,1,FP,22h17m44.26s,334.434433,+62d27m54.03s,62.465008,4.431,1.0,0.9,1.0,2458739.62994,1,0.77871,1,1.458,1,670.0,1,6.16036,1,10057.7,,2789.0,,10.9141,1,609.996,1,7751.0,1,4.0,1,2.25,1,2020-06-19 07:20:03,2021-10-29 12:59:15,,,0.042,0.039,0.00288,1e-05,0.192,0.957405,0.315609,,,0.041,8.9055,349.7,0.09,0.07
1226,2029.01,2029,445254275,445254275.01,1,FP,00h48m51.88s,12.216148,+59d23m12.18s,59.386718,2.849,1.0,-1.879,1.0,2458767.19721,1,2.57134,1,3.824,1,920.0,1,10.7406,1,5344.87,,2382.0,,10.9415,1,910.693,1,7125.0,1,3.54,1,3.56,1,2020-06-19 07:20:03,2021-10-29 12:59:15,,,0.046,0.043,0.0042,8e-05,0.911,2.66768,0.826123,,,0.016,28.9095,162.4,0.08,0.17
1227,203.01,203,259962054,259962054.01,1,FA,02h52m04.34s,43.018076,-67d41m13.26s,-67.687016,-55.699,1.0,149.273,1.0,2459106.86029,1,51.94509,1,8.094,1,2534.0,1,0.705818,1,4.34593,,402.0,,12.2423,1,24.7894,1,3203.0,1,5.01682,1,0.23,1,2018-10-22 18:35:20,2024-09-05 10:08:02,,,0.098,0.09,0.03502,0.00219,3.492,25.7015,0.131354,,,0.007,0.0285,63.0,0.423075,0.01
1228,2030.01,2030,422656370,422656370.01,1,APC,23h18m41.3s,349.672086,+68d17m57.18s,68.299217,28.247,1.0,0.652,1.0,2459880.870498,1,1.3254567,1,0.975,1,3365.0,1,14.4076,1,776.933,,1470.0,,10.8489,1,367.355,1,5778.0,1,3.74,1,2.29,1,2020-06-19 07:20:03,2023-05-01 10:10:02,,,0.045,0.04,0.000576,1e-06,0.289,238.919,0.916221,,,0.022,3.4215,186.2,0.08,0.12
1229,2031.01,2031,470127886,470127886.01,1,PC,22h04m28.27s,331.117808,+81d33m57.42s,81.565951,25.719,1.0,2.507,1.0,2459886.04634,1,5.7156075,1,4.0584797,1,12240.9298817,1,13.6015651,1,503.1185454,,1207.9176608,,10.7609,1,276.105,1,6664.0,1,4.44,1,1.18444,1,2020-06-19 07:20:03,2023-02-21 16:02:01,,,0.035,0.034,0.000426,0.0001693,0.0320224,90.70415,0.5721648,,,0.036,1.5315,265.1,0.09,0.0492463
1230,2032.01,2032,470159478,470159478.01,1,APC,22h13m14.82s,333.311732,+81d44m23.02s,81.739729,9.1,1.0,2.1,1.0,2459737.544901,1,17.0096703,1,2.228,1,4730.0,1,13.5294,1,63.3708,,,,10.9293,1,293.0,1,6542.0,1,,1,1.5,1,2020-06-19 07:20:03,2023-10-20 12:02:39,,,2.3,2.4,0.001849,4.12e-05,0.488,1197.68,,,,0.006,,,,
1231,2033.01,2033,53617134,53617134.01,1,PC,01h10m43.22s,17.680098,+65d14m58.73s,65.249648,24.971,1.0,-2.555,1.0,2459886.4891,1,18.8243063,1,4.397,1,1915.0,1,8.51397,1,90.9855,,860.0,,9.46221,1,281.184,1,7014.0,1,4.05,1,1.95,1,2020-06-19 07:20:03,2024-08-24 10:08:02,,,0.045,0.046,0.001632,3.82e-05,0.248,59.2904,0.362098,,,0.006,2.458,163.9,0.09,0.07
1232,2034.01,2034,427279997,427279997.01,1,FP,23h25m31.38s,351.380744,+54d36m04.26s,54.601182,-1.535,1.0,-1.911,1.0,2458768.72753,1,2.89453,1,3.327,1,550.0,1,6.20845,1,9411.16,,2743.0,,10.5682,1,909.511,1,9714.0,1,3.98,1,2.68,1,2020-06-19 07:20:03,2021-10-29 12:59:15,,,0.075,0.075,0.00722,0.00019,0.746,2.32422,0.56928,,,0.013,44.8145,228.9,0.08,0.15
1233,2035.01,2035,53709089,53709089.01,1,PC,01h10m56.81s,17.73671,+61d05m31.59s,61.092107,-3.0,1.0,-0.3,1.0,2458793.50485,1,8.51226,1,3.068,1,620.0,1,5.90105,1,872.772,,,,9.1196,1,359.404,1,9387.0,1,,1,2.35,1,2020-06-19 07:20:03,2021-10-29 12:59:15,,,1.8,1.8,0.00818,0.00054,0.786,2.25319,,,,0.006,,,,
1234,2036.01,2036,368320811,368320811.01,1,PC,15h32m03.58s,233.014923,+24d05m06.06s,24.085016,-17.558,1.0,15.161,1.0,2460449.232339,1,1.261045,1,1.246,1,384.0,1,4.24615,1,1770.66,,1807.0,,8.97913,1,231.827,1,6549.0,1,3.89,1,2.18,1,2020-06-19 07:20:03,2024-08-13 10:08:02,,,0.042,0.037,0.002918,3.7e-06,0.407,41.6434,0.335857,,,0.006,1.6665,134.3,0.09,0.09
