kepoi_name,koi_disposition,ra,dec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_incl,koi_impact,koi_sma,koi_duration,koi_depth,koi_ingress,koi_prad,koi_insol,koi_teq,koi_srad,koi_smass,koi_sage,koi_steff,koi_slogg,koi_smet,koi_kepmag,data_source,koi_smass_calculated,koi_sma_calculated,koi_incl_calculated
K00776.01,CONFIRMED,290.78574,50.054119,3.728732147,2455004.793255,0.0,,86.7,0.558,0.0455,2.683,5226.5,,6.02,258.34,1023.0,0.809,0.907,,5497.0,4.577,-0.1,15.523,Kepler,False,False,False
K00777.01,CANDIDATE,294.31686,50.080231,40.4195037,2455006.56469,0.0,,89.05,0.911,0.2062,3.362,6256.0,,7.51,11.29,467.0,0.781,0.714,,5446.0,4.507,-0.54,15.487,Kepler,False,False,False
K00778.01,CONFIRMED,285.17621,50.149818,2.243380573,2455003.679233,0.0,,82.88,0.915,0.028,1.1196,821.7,,1.99,107.6,822.0,0.564,0.578,,4149.0,4.698,-0.32,15.135,Kepler,False,False,False
K00779.01,FALSE POSITIVE,289.23553,50.241001,10.405998015,2455010.197466,0.0,,88.57,0.324,0.0855,6.5036,14489.0,,11.23,113.94,833.0,0.924,0.77,,5746.0,4.393,-0.54,15.562,Kepler,False,False,False
K00780.01,CONFIRMED,293.83331,50.23035,2.337437946,2455004.761982,0.0,,88.19,0.28,0.0325,1.9982,971.2,,2.34,311.16,1070.0,0.765,0.85,,5005.0,4.595,0.14,15.334,Kepler,False,False,False
K00780.02,CANDIDATE,293.83331,50.23035,7.2406612,2454970.75545,0.0,,87.62,1.198,0.0692,0.558,556.4,,19.45,68.63,734.0,0.765,0.85,,5005.0,4.595,0.14,15.334,Kepler,False,False,False
K00115.03,CANDIDATE,287.88733,46.276241,3.43591631,2454965.6624,0.0,,84.62,0.624,0.0437,3.133,23.2,,0.55,617.61,1272.0,1.087,0.941,,5779.0,4.339,-0.06,12.791,Kepler,False,False,False
K00781.01,CONFIRMED,296.22195,50.28722,11.59822233,2455013.395376,0.0,,88.62,0.679,0.0798,2.5237,2804.5,,2.65,5.82,396.0,0.473,0.503,,3688.0,4.79,0.0,15.937,Kepler,False,False,False
K00782.01,CONFIRMED,290.09805,50.321609,6.575315881,2455006.634044,0.0,,88.03,0.39,0.067,4.3084,2793.3,,5.31,251.38,1015.0,0.989,0.927,,5992.0,4.415,-0.32,15.312,Kepler,False,False,False
K00783.01,CONFIRMED,295.45529,50.49456,7.275040844,2455002.994217,0.0,,85.29,0.547,0.0732,7.5377,3001.0,,4.86,113.64,833.0,0.867,0.986,,5485.0,4.556,0.21,15.08,Kepler,False,False,False
K00784.01,CONFIRMED,293.97336,50.53191,19.27153892,2455019.77093,0.0,,89.97,0.031,0.1171,2.7594,1219.8,,1.93,5.66,393.0,0.56,0.576,,4077.0,4.702,-0.24,15.385,Kepler,False,False,False
K00784.02,CONFIRMED,293.97336,50.53191,10.06524317,2454969.28906,0.0,,89.22,0.628,0.076,1.369,1053.3,,1.91,13.43,488.0,0.56,0.576,,4077.0,4.702,-0.24,15.385,Kepler,False,False,False
K00785.01,CONFIRMED,296.02133,50.56778,12.3935651,2455011.74725,0.0,,86.13,0.883,0.0983,3.8896,916.6,,2.66,49.68,677.0,0.75,0.832,,5557.0,4.603,-0.4,15.505,Kepler,False,False,False
K00116.02,CONFIRMED,300.86398,44.337551,43.84439721,2454984.93538,0.0,,88.27,0.852,0.2395,6.802,615.2,,2.87,18.77,531.0,1.012,0.951,,5854.0,4.406,-0.12,12.882,Kepler,False,False,False
K00798.01,FALSE POSITIVE,292.31595,38.27029,3.341913228,2455004.63943,0.0,,56.44,1.213,0.0415,3.813,725.3,,21.55,268.67,1032.0,0.811,0.853,,5295.0,4.551,-0.02,15.629,Kepler,False,False,False
K00799.01,FALSE POSITIVE,294.36819,38.31028,1.626630225,2455002.820171,0.0,,58.03,1.26,0.026,2.1145,1620.6,,32.43,1355.88,1547.0,0.973,0.889,,5735.0,4.41,-0.18,15.279,Kepler,False,False,False
K00800.01,CONFIRMED,291.65353,38.494659,2.711504086,2455003.03417,0.0,,89.81,0.023,0.0401,3.0099,837.5,,3.12,960.79,1420.0,1.076,1.169,,6214.0,4.442,0.07,15.541,Kepler,False,False,False
K00800.02,CONFIRMED,291.65353,38.494659,7.21203748,2455005.81782,0.0,,89.95,0.012,0.077,4.0491,950.4,,3.32,260.58,1025.0,1.076,1.169,,6214.0,4.442,0.07,15.541,Kepler,False,False,False
K00789.01,FALSE POSITIVE,291.0448,51.321671,14.1798187,2455004.50237,0.0,,89.95,0.1601,0.1137,2.505,459.9,,1.88,60.35,711.0,0.878,0.975,,5799.0,4.539,-0.1,15.727,Kepler,False,False,False
K00790.01,CONFIRMED,296.36652,51.319519,8.47237911,2455007.16212,0.0,,89.95,0.022,0.0778,2.7245,1123.5,,2.59,75.44,751.0,0.788,0.884,,5354.0,4.587,-0.08,15.339,Kepler,False,False,False
K00790.02,CONFIRMED,296.36652,51.319519,60.4189369,2455014.16367,0.0,,89.94,0.094,0.2884,5.039,931.3,,2.36,5.49,390.0,0.788,0.884,,5354.0,4.587,-0.08,15.339,Kepler,False,False,False
K00791.01,CONFIRMED,289.11221,51.737381,12.611904345,2455013.892284,0.0,,88.17,0.55,0.1058,5.1497,6105.6,,7.4,76.15,753.0,0.919,0.992,,5795.0,4.508,-0.02,15.14,Kepler,False,False,False
K00792.01,FALSE POSITIVE,290.84369,37.728828,1.433769925,2455003.403536,0.0,,58.99,1.268,0.0256,1.8868,1976.3,,46.58,3209.29,1920.0,1.339,1.083,,6017.0,4.22,0.02,15.122,Kepler,False,False,False
K00793.01,FALSE POSITIVE,291.84891,37.713501,10.31872301,2455006.31543,0.0,,78.15,1.215,0.0944,3.836,871.7,,28.59,139.26,876.0,1.06,1.05,,5927.0,4.409,0.07,15.065,Kepler,False,False,False
K00794.01,CONFIRMED,291.43997,37.905659,2.539183147,2455002.67494,0.0,,88.28,0.238,0.0355,2.4282,382.1,,2.06,743.09,1332.0,1.062,0.921,,5519.0,4.35,0.14,15.026,Kepler,False,False,False
K00795.01,CONFIRMED,290.87051,38.273628,6.770300385,2455003.57662,0.0,,86.84,0.838,0.064,2.0844,1304.0,,2.77,102.87,812.0,0.679,0.767,,5653.0,4.656,-0.84,15.591,Kepler,False,False,False
K00796.01,FALSE POSITIVE,290.99689,38.28492,0.444291966,2455002.865406,0.0,,39.97,1.258,0.0101,2.0792,10967.0,,27.51,2706.26,1836.0,0.636,0.709,,5255.0,4.678,-0.72,15.748,Kepler,False,False,False
K00797.01,CANDIDATE,291.28195,38.241669,10.181584004,2455010.141891,0.0,,85.87,0.92,0.0884,3.5089,5741.1,,7.73,102.91,812.0,0.836,0.885,,5988.0,4.541,-0.52,15.657,Kepler,False,False,False
K00812.02,CONFIRMED,286.07913,39.27832,20.06036336,2454980.46554,0.0,,89.21,0.556,0.115,3.3203,1494.7,,1.96,4.0,361.0,0.493,0.502,,3950.0,4.754,-0.46,15.954,Kepler,False,False,False
K00812.03,CONFIRMED,286.07913,39.27832,46.1842039,2454998.23729,0.0,,89.99,0.013,0.2005,4.758,1394.7,,1.83,1.32,273.0,0.493,0.502,,3950.0,4.754,-0.46,15.954,Kepler,False,False,False
K00116.04,CONFIRMED,300.86398,44.337551,23.9800854,2454980.537,0.0,,85.45,0.95,0.1602,5.351,104.0,,1.31,41.94,649.0,1.012,0.951,,5854.0,4.406,-0.12,12.882,Kepler,False,False,False
K00812.04,CONFIRMED,286.07913,39.27832,7.82502168,2454969.54995,0.0,,87.99,0.708,0.0614,2.186,520.8,,1.2,14.05,494.0,0.493,0.502,,3950.0,4.754,-0.46,15.954,Kepler,False,False,False
K00813.01,CONFIRMED,294.65524,39.308361,3.895936525,2455003.527552,0.0,,87.56,0.524,0.046,2.3111,8544.8,,7.34,241.62,1005.0,0.774,0.866,,5557.0,4.592,-0.3,15.725,Kepler,False,False,False
K00814.01,CONFIRMED,294.71063,39.52174,22.36646466,2455008.45862,0.0,,89.26,0.4,0.1449,5.228,986.8,,2.32,19.45,536.0,0.734,0.821,,5395.0,4.615,-0.34,15.583,Kepler,False,False,False
K00801.01,CONFIRMED,293.87192,38.422939,1.625522174,2455003.8266564,0.0,,89.22,0.076,0.0265,2.38963,7969.0,,9.73,1467.41,1579.0,1.106,0.935,,5539.0,4.322,0.16,15.001,Kepler,False,False,False
K00802.01,CANDIDATE,293.81619,38.563568,19.620346923,2455014.881819,0.0,,89.66,0.458,0.1389,2.0038,21725.0,,13.6,40.39,643.0,0.905,0.928,,5710.0,4.492,-0.1,15.562,Kepler,False,False,False
K00803.01,FALSE POSITIVE,293.94116,38.601101,7.544039,2455004.7982,0.0,,58.94,1.175,0.0731,6.222,322.6,,17.47,116.46,838.0,0.824,0.919,,5657.0,4.567,-0.18,15.559,Kepler,False,False,False
K00804.01,CONFIRMED,290.33362,38.72823,9.02930689,2455010.20422,0.0,,89.94,0.024,0.0796,3.1449,1019.8,,2.57,77.75,757.0,0.82,0.824,,5349.0,4.526,-0.12,15.387,Kepler,False,False,False
K00805.01,FALSE POSITIVE,287.69675,38.886452,10.328035714,2455007.581054,0.0,,88.54,0.281,0.0888,7.7915,16918.0,,13.28,119.31,843.0,1.024,0.874,,5627.0,4.359,-0.1,15.646,Kepler,False,False,False
K00806.01,CONFIRMED,285.28363,38.947281,143.2063047,2454987.23552,0.0,,89.83,0.379,0.5336,8.9302,10566.0,,8.9,2.14,308.0,0.867,0.986,,5485.0,4.556,0.21,15.403,Kepler,False,False,False
K00116.03,CONFIRMED,300.86398,44.337551,6.164876,2454968.63916,0.0,,86.69,0.646,0.0648,3.262,55.8,,0.79,256.35,1021.0,1.012,0.951,,5854.0,4.406,-0.12,12.882,Kepler,False,False,False
K00806.02,CONFIRMED,285.28363,38.947281,60.32494216,2455076.892578,0.0,,89.83,0.224,0.2998,6.6188,20280.0,,12.19,6.77,411.0,0.867,0.986,,5485.0,4.556,0.21,15.403,Kepler,False,False,False
K00806.03,CONFIRMED,285.28363,38.947281,29.1598615,2454983.69922,0.0,,89.38,0.3619,0.1847,4.803,488.0,,1.91,17.85,524.0,0.867,0.986,,5485.0,4.556,0.21,15.403,Kepler,False,False,False
K00807.01,FALSE POSITIVE,286.92639,38.921631,1.540397253,2455003.50479,0.0,,51.56,1.225,0.0264,2.1541,816.1,,25.69,1105.68,1470.0,0.915,1.034,,5663.0,4.53,0.21,15.974,Kepler,False,False,False
K00808.01,FALSE POSITIVE,287.74881,38.92955,2.99025443,2455004.9834,0.0,,89.81,0.014,0.0367,5.414,589.2,,1.7,168.45,918.0,0.731,0.737,,4667.0,4.578,0.1,15.842,Kepler,False,False,False
K00809.01,CONFIRMED,285.21381,39.027481,1.594745374,2455003.6483505,0.0,,85.25,0.514,0.0258,1.9604,15044.0,,11.3,1329.42,1539.0,0.893,0.901,,5934.0,4.491,-0.38,15.53,Kepler,False,False,False
K00810.01,CONFIRMED,287.09399,39.060719,4.783002698,2455003.508434,0.0,,89.99,0.003,0.0535,2.335,1008.7,,2.5,145.48,886.0,0.807,0.891,,5170.0,4.574,0.18,15.119,Kepler,False,False,False
K00811.01,CONFIRMED,289.31543,39.153278,20.50588921,2455014.43428,0.0,,89.62,0.26,0.1326,4.0595,2105.5,,3.41,17.06,518.0,0.761,0.739,,4905.0,4.544,-0.04,15.398,Kepler,False,False,False
K00812.01,CONFIRMED,286.07913,39.27832,3.340218842,2455004.979062,0.0,,87.85,0.466,0.0348,1.9104,1632.6,,2.03,43.73,656.0,0.493,0.502,,3950.0,4.754,-0.46,15.954,Kepler,False,False,False
K00828.01,FALSE POSITIVE,295.37805,40.493401,2.507089906,2455004.002455,0.0,,67.79,1.255,0.0365,2.0067,1339.2,,30.26,730.47,1326.0,0.939,1.03,,5926.0,4.506,-0.04,15.555,Kepler,False,False,False
